|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
320078|24 Middletown Ave|170100.0|2006-09-15T00:00:00|[{'type': 'Point', 'coordinates': [-72.397513, 41.283643]}]|row-di5r-n734.5b4z|2005|||R|||364500.0|0.466667|50298|Old Saybrook
320079|1229 Winsted Rd Ut 87|83600.0|2006-09-15T00:00:00|[{'type': 'Point', 'coordinates': [-73.100075, 41.83935]}]|row-q2cs-zmpd.qi74|2005|||R|||155500.0|0.537621|51005|Torrington
320080|120 Bradford Walk|1232950.0|2006-09-16T00:00:00|[{'type': 'Point', 'coordinates': [-72.776295, 41.714421]}]|row-nwgi-ve99.wr2t|2005|7||R|||425451.0|2.897984|50650|Farmington
320081|52 Dart Hl Rd|108050.0|2006-08-31T00:00:00|[{'type': 'Point', 'coordinates': [-72.522572, 41.847477]}]|row-cd97-e5f8.6kjh|2005|||R|||246000.0|0.439228|50598|South Windsor
320082|521 Brandy Hl Rd|160800.0|2006-08-31T00:00:00|[{'type': 'Point', 'coordinates': [-71.821003, 41.950121]}]|row-fpgv-b2c2.uafj|2005|8||R|||50000.0|3.216|50181|Thompson
320083|504-506 Franklin Ave|89390.0|2006-09-26T00:00:00|[{'type': 'Point', 'coordinates': [-72.674966, 41.735169]}]|row-wqu6-vfkm-a9dv|2005|||C/I/U|||305000.0|0.293082|51807|Hartford
320084|527 W Thames St Ut 2|116000.0|2006-09-26T00:00:00|[{'type': 'Point', 'coordinates': [-72.092284, 41.503433]}]|row-x7xu~qiha~hxvi|2005|||R|||180000.0|0.644444|51022|Norwich
320085|121 Birch Mtn Rd|244560.0|2006-08-08T00:00:00|[{'type': 'Point', 'coordinates': [-72.459251, 41.750607]}]|row-yubz-i6dq-asv9|2005|||R|||460000.0|0.531652|50099|Bolton
320086|192 Colonial St|172100.0|2006-08-08T00:00:00|[{'type': 'Point', 'coordinates': [-73.091213, 41.584]}]|row-urkj~5fvx-gt38|2005|||R|||290000.0|0.593448|50404|Watertown
320087|112 Manor Ave|86660.0|2006-08-08T00:00:00|[{'type': 'Point', 'coordinates': [-73.015538, 41.550645]}]|row-t825~9ghr-may2|2005|1||R|||103000.0|0.841359|52460|Waterbury
320088|231 Peck Ln|117690.0|2006-08-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.918025, 41.515764]}]|row-tire.cine.d9en|2005|||R|||265000.0|0.444113|50491|Cheshire
320089|72 Fairfield St|81430.0|2006-08-04T00:00:00||row-skr4-n932-578z|2005|||R|||230000.0|0.354043|51206|Bristol
320090|383 Woodmont Dr|199820.0|2006-08-08T00:00:00||row-sr5x-7q84.qtue|2005|||R|||374000.0|0.534278|50287|Coventry
320091|170 Broadbridge Rd|149721.0|2006-08-08T00:00:00|[{'type': 'Point', 'coordinates': [-73.174083, 41.22227]}]|row-zgzt.mzyt-zfu3|2005|||R|||315000.0|0.475305|52946|Bridgeport
320092|85 Somersby Way|215740.0|2006-08-08T00:00:00||row-3t97.vajz.fxpi|2005|7||R|||1406268.0|0.153413|50567|Farmington
320093|50 E Industrial Rd|2080600.0|2006-08-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.754747, 41.298205]}]|row-ks6d-55s8-wsj6|2005|||C/I/U|||3700000.0|0.562324|50559|Branford
320094|12 Walter Wheeler Dr|163590.0|2006-08-01T00:00:00|[{'type': 'Point', 'coordinates': [-73.54127, 41.042472]}]|row-8pqw~t6im.8c6p|2005|||R|||699000.0|0.234034|52232|Stamford
320095|92 Temple St|74410.0|2006-08-01T00:00:00|[{'type': 'Point', 'coordinates': [-73.032706, 41.53177]}]|row-w8q6.5e84~ewag|2005|||R|||185000.0|0.402216|52403|Waterbury
320096|199 Sachem Rd|227650.0|2006-08-16T00:00:00|[{'type': 'Point', 'coordinates': [-73.320478, 41.48611]}]|row-hn2e~j69p.b4iz|2005|||R|||452500.0|0.503094|50509|Southbury
320097|76 Washington Cir|82070.0|2006-08-16T00:00:00|[{'type': 'Point', 'coordinates': [-72.726488, 41.758006]}]|row-8fv5-ups3.u8fg|2005|||R|||344900.0|0.237953|51187|West Hartford
320098|215 Stafford Rd|39340.0|2006-08-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.436693, 42.03199]}]|row-eeju-gsfa.7bmg|2005|||V|||114900.0|0.342385|50130|Somers
320099|12 Pepperbush Way Ut 45|118720.0|2006-08-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.573755, 41.829171]}]|row-t9d6.w6ag~xfin|2005|||R|||270000.0|0.439704|50542|South Windsor
320100|81 Collins Rd|72810.0|2006-08-07T00:00:00|[{'type': 'Point', 'coordinates': [-72.912112, 41.696374]}]|row-z7z6-r7rm-66pg|2005|||R|||161000.0|0.452236|51219|Bristol
320101|193 Krodel Rd|141620.0|2006-08-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.096017, 41.508582]}]|row-32iw-5kq7~5srd|2005|||R|||300000.0|0.472067|50665|Naugatuck
320102|14 Crisci Pl|110630.0|2006-08-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.877674, 41.28094]}]|row-4mke~6mpk.gajy|2005|||R|||310000.0|0.356871|50577|East Haven
320103|14 Cedar Rdg Dr|199390.0|2006-08-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.783507, 41.731368]}]|row-y7m6-2kg9.3crv|2005|||R|||499900.0|0.39886|50561|Farmington
320104|Sabrina'S Ct|39000.0|2006-08-09T00:00:00||row-h5fe~wgfd~4t9j|2005|||V|||110000.0|0.354545|50882|Norwich
320105|380 East Ave|67550.0|2006-08-09T00:00:00|[{'type': 'Point', 'coordinates': [-73.158304, 41.191141]}]|row-kv7m.7zy5-jud5|2005|||R|||139000.0|0.485971|52961|Bridgeport
320106|1 Aztec Trl|622370.0|2006-08-31T00:00:00||row-vdn5.8a7b-527t|2005|7||R|||173038.0|3.596724|50617|Farmington
320107|22 Berkshire Dr|136650.0|2006-08-31T00:00:00|[{'type': 'Point', 'coordinates': [-73.44114, 41.475672]}]|row-8et4~w8nf-x7yz|2005|||R|||338500.0|0.403693|50380|Brookfield
320108|8 Sycamore Ave|214880.0|2006-08-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.208864, 41.541071]}]|row-xfbv.j7su.drt6|2005|||R|||435000.0|0.493977|50207|Woodbury
320109|35 Cambridge Rd|141190.0|2006-08-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.504967, 41.053412]}]|row-6jbj-4rxe.zgqr|2005|||R|||384000.0|0.367682|52242|Stamford
320110|North St|54950.0|2006-08-10T00:00:00||row-e5ir~ta5t.bkph|2005|7||V|||325000.0|0.169077|51083|Milford
320111|34 Sunset Ave|109700.0|2006-08-10T00:00:00|[{'type': 'Point', 'coordinates': [-72.358615, 41.322391]}]|row-x3p4-2dvv-9ivt|2005|||R|||159900.0|0.686054|50255|Old Saybrook
320112|2261 New London Tpke|98600.0|2006-08-07T00:00:00|[{'type': 'Point', 'coordinates': [-72.546749, 41.678778]}]|row-7dif.aqp8-tsy6|2005|||R|||238000.0|0.414286|50741|Glastonbury
320113|88 Bashan Rd|219160.0|2006-08-07T00:00:00|[{'type': 'Point', 'coordinates': [-72.40885, 41.495872]}]|row-5edv-b7ag.fja8|2005|8||R|||281250.0|0.779236|50211|East Haddam
320114|92 Saddle Hl Rd|150400.0|2006-08-07T00:00:00||row-kbiz.3jcr-jukb|2005|||R|||320000.0|0.47|51175|Manchester
320115|1093 Barnum Ave|206710.0|2006-08-10T00:00:00||row-s9h4-r4te-3nv7|2005|||C/I/U|||425000.0|0.486376|51058|Stratford
320116|37 Caroline Rd|127830.0|2006-08-10T00:00:00|[{'type': 'Point', 'coordinates': [-72.184905, 41.536541]}]|row-h57b-mpc3~wutd|2005|1||R|||240000.0|0.532625|50039|Bozrah
320117|7 Park Pl|99780.0|2006-08-10T00:00:00|[{'type': 'Point', 'coordinates': [-72.658491, 41.560254]}]|row-gk9u-xfcx-5hqc|2005|16||R|||180000.0|0.554333|50884|Middletown
320118|23 Navaho Rd|16040.0|2006-08-11T00:00:00||row-wy7n-ymk8~2dy9|2005|||R|||40000.0|0.401|50935|East Hartford
320119|7 Millers Pond Rd|191420.0|2006-08-11T00:00:00||row-2kqn~43cw-db42|2005|||R|||392900.0|0.487198|50402|Waterford
320120|82 S Beechwood Rd|102270.0|2006-08-11T00:00:00||row-98nn-9rti-yjy3|2005|8||R|||130000.0|0.786692|50423|East Lyme
320121|71 Southwood Dr|580500.0|2006-08-14T00:00:00||row-6dcp~w4qy-d7xs|2005|||R|||940000.0|0.617553|50375|New Canaan
320122|55 Waterford Ln Ut 1|127750.0|2006-08-14T00:00:00|[{'type': 'Point', 'coordinates': [-73.550292, 41.067312]}]|row-aw6b-nyxu~agsa|2005|||R|||575000.0|0.222174|52327|Stamford
320123|342 Southeast Rd|187110.0|2006-08-14T00:00:00|[{'type': 'Point', 'coordinates': [-72.98321, 41.805794]}]|row-a9rq~bk79~vnwx|2005|||R|||357000.0|0.524118|50156|New Hartford
320124|21 Rye Rdg Pky|153420.0|2006-08-14T00:00:00|[{'type': 'Point', 'coordinates': [-72.755211, 41.79073]}]|row-f26q.jzj4~ieba|2005|||R|||372000.0|0.412419|51172|West Hartford
320125|121 Cross Rd|161020.0|2006-08-14T00:00:00||row-cenu-4d2i.7ebt|2005|||R|||345000.0|0.466725|50111|Middlebury
320126|141 Jones Dr|97510.0|2006-08-14T00:00:00|[{'type': 'Point', 'coordinates': [-72.817371, 41.673083]}]|row-t3q2-nw6k.7xtp|2005|||R|||182000.0|0.535769|51248|New Britain
320127|12 Canterbury Ln|455280.0|2006-08-11T00:00:00||row-ah4w.8p3d~t4t7|2005|||R|||800000.0|0.5691|50398|Newtown
320128|67 White Oak Shade Rd|1503600.0|2006-08-11T00:00:00||row-xej2.jnnj.8jz8|2005|||R|||2800000.0|0.537|50373|New Canaan
320129|15 Baldwin Dr|218320.0|2006-08-11T00:00:00|[{'type': 'Point', 'coordinates': [-72.873328, 41.710325]}]|row-bypq~sa3a-9672|2005|25||R|||442500.0|0.493379|50576|Farmington
320130|55 Goodwin Cir Ut 361|140980.0|2006-08-22T00:00:00|[{'type': 'Point', 'coordinates': [-72.704765, 41.777051]}]|row-vfgd.pmi2.nwe3|2005|||R|||432000.0|0.326343|51641|Hartford
320131|87 Footpath Ln|20890.0|2006-08-22T00:00:00|[{'type': 'Point', 'coordinates': [-72.632578, 41.759086]}]|row-4ij8-za6r-pait|2005|||V|||88000.0|0.237386|50967|East Hartford
320132|55 Brookmoor Rd|245020.0|2006-08-22T00:00:00||row-h58d-i4ga-zh8e|2005|||R|||475000.0|0.515832|50434|Avon
320133|73 Courtland Ave|104570.0|2006-08-15T00:00:00|[{'type': 'Point', 'coordinates': [-73.514166, 41.060804]}]|row-pc2a.p66x-vsc2|2005|||R|||420000.0|0.248976|52286|Stamford
320134|514 Camp St|78650.0|2006-08-15T00:00:00|[{'type': 'Point', 'coordinates': [-72.891727, 41.691985]}]|row-x5n4~mt84-vf25|2005|||R|||212000.0|0.370991|50416|Plainville
320135|15 Boulevard|231840.0|2006-08-16T00:00:00|[{'type': 'Point', 'coordinates': [-73.302922, 41.417135]}]|row-7mt8.y8nx~uga2|2005|||R|||455000.0|0.509538|50409|Newtown
320136|108 Wauwinet Trl|88480.0|2006-08-16T00:00:00|[{'type': 'Point', 'coordinates': [-72.6895, 41.398966]}]|row-mbke~xqua.rq2z|2005|||R|||200500.0|0.441297|59396|Guilford
320137|129 Old Farms Rd|92300.0|2006-08-16T00:00:00||row-i98d-qfsc~jxxp|2005|||R|||138000.0|0.668841|50918|Torrington
320138|1485 Palisado Ave|550410.0|2006-08-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.625158, 41.902954]}]|row-g48m.7335~7gge|2005|||C/I/U|||575000.0|0.957235|50601|Windsor
320139|22 Mabel Ave|153000.0|2006-08-18T00:00:00|[{'type': 'Point', 'coordinates': [-73.465891, 41.424332]}]|row-ih9m~h98f-cjbu|2005|||R|||380000.0|0.402632|52408|Danbury
320140|84 Raffia Rd|86870.0|2006-08-18T00:00:00|[{'type': 'Point', 'coordinates': [-72.566007, 41.966132]}]|row-h335-jdsx-e76m|2005|||R|||205000.0|0.423756|50746|Enfield
320141|35 Wayne St|155260.0|2006-08-14T00:00:00|[{'type': 'Point', 'coordinates': [-73.144922, 41.203391]}]|row-vric-wsyk-x8yh|2005|||R|||240000.0|0.646917|51068|Stratford
